Country,Year,Income share of the richest 1% (before tax) (World Inequality Database)
Afghanistan,2008,15.87
Afghanistan,2012,13.56
Afghanistan,2017,15.39
Afghanistan,2022,15.54
Afghanistan,2023,15.16
Africa (WID),1980,20.61
Africa (WID),1981,19.96
Africa (WID),1982,20.09
Africa (WID),1983,22.15
Africa (WID),1984,20.36
Africa (WID),1985,20.35
Africa (WID),1986,20.24
Africa (WID),1987,19.83
Africa (WID),1988,19.72
Africa (WID),1989,19.79
Africa (WID),1990,19.58
Africa (WID),1991,20.08
Africa (WID),1992,19.85
Africa (WID),1993,19.76
Africa (WID),1994,20.43
Africa (WID),1995,20.34
Africa (WID),1996,20.45
Africa (WID),1997,21.02
Africa (WID),1998,21.1
Africa (WID),1999,21.54
Africa (WID),2000,21.95
Africa (WID),2001,21.72
Africa (WID),2002,21.94
Africa (WID),2003,21.84
Africa (WID),2004,21.64
Africa (WID),2005,21.45
Africa (WID),2006,21.97
Africa (WID),2007,22.1
Africa (WID),2008,21.56
Africa (WID),2009,20.8
Africa (WID),2010,20.53
Africa (WID),2011,20.25
Africa (WID),2012,21.28
Africa (WID),2013,21.36
Africa (WID),2014,21.37
Africa (WID),2015,21.32
Africa (WID),2016,21.25
Africa (WID),2017,21.09
Africa (WID),2018,21.44
Africa (WID),2019,21.18
Africa (WID),2020,20.71
Africa (WID),2021,21.2
Africa (WID),2022,20.93
Africa (WID),2023,20.75
Albania,1996,8.09
Albania,2002,8.25
Albania,2005,8.03
Albania,2008,8.14
Albania,2012,8.58
Albania,2015,9.64
Albania,2016,9.5
Albania,2017,9.62
Albania,2018,9.5
Albania,2022,9.09
Albania,2023,9.17
Algeria,1988,15.44
Algeria,1989,15.36
Algeria,1990,16.04
Algeria,1991,15.05
Algeria,1992,15.72
Algeria,1993,15.52
Algeria,1994,14.09
Algeria,1995,15.22
Algeria,1996,15.61
Algeria,1997,15.42
Algeria,1998,15.71
Algeria,1999,15.69
Algeria,2000,15.29
Algeria,2001,15.21
Algeria,2002,18.18
Algeria,2003,17.2
Algeria,2004,15.57
Algeria,2005,15.56
Algeria,2006,15.38
Algeria,2007,14.87
Algeria,2008,15.59
Algeria,2009,16.24
Algeria,2010,16.14
Algeria,2011,15.95
Algeria,2022,23.74
Algeria,2023,22.64
Andorra,1980,9.08
Andorra,1981,9.05
Andorra,1982,9.02
Andorra,1983,9.13
Andorra,1984,9.34
Andorra,1985,9.37
Andorra,1986,9.34
Andorra,1987,9.27
Andorra,1988,9.33
Andorra,1989,9.43
Andorra,1990,9.22
Andorra,1991,9.14
Andorra,1992,9.51
Andorra,1993,9.63
Andorra,1994,10.07
Andorra,1995,9.75
Andorra,1996,10.08
Andorra,1997,10.68
Andorra,1998,10.81
Andorra,1999,10.88
Andorra,2000,11.3
Andorra,2001,10.86
Andorra,2002,10.5
Andorra,2003,10.75
Andorra,2004,11.16
Andorra,2005,11.34
Andorra,2006,12
Andorra,2007,11.98
Andorra,2008,10.78
Andorra,2009,9.88
Andorra,2010,10.93
Andorra,2011,10.88
Andorra,2012,10.25
Andorra,2013,10.4
Andorra,2014,10.85
Andorra,2015,10.66
Andorra,2016,10.77
Andorra,2017,10.78
Andorra,2018,10.83
Andorra,2019,10.49
Andorra,2020,10.58
Andorra,2021,11.4
Andorra,2022,11.5
Andorra,2023,11.5
Angola,1995,22.74
Angola,2000,22.16
Angola,2008,15.16
Angola,2018,26.09
Angola,2022,25.87
Angola,2023,25.86
Anguilla,1980,23.75
Anguilla,1981,23.64
Anguilla,1982,23.53
Anguilla,1983,23.42
Anguilla,1984,23.31
Anguilla,1985,23.19
Anguilla,1986,23.07
Anguilla,1987,22.95
Anguilla,1988,22.83
Anguilla,1989,22.71
Anguilla,1990,22.58
Anguilla,1991,22.57
Anguilla,1992,22.55
Anguilla,1993,22.54
Anguilla,1994,22.53
Anguilla,1995,22.52
Anguilla,1996,22.51
Anguilla,1997,22.5
Anguilla,1998,22.49
Anguilla,1999,22.48
Anguilla,2000,22.47
Anguilla,2001,22.31
Anguilla,2002,22.16
Anguilla,2003,22.02
Anguilla,2004,21.89
Anguilla,2005,21.76
Anguilla,2006,21.64
Anguilla,2007,21.53
Anguilla,2008,21.42
Anguilla,2009,21.31
Anguilla,2010,21.21
Anguilla,2011,21.2
Anguilla,2012,21.2
Anguilla,2013,21.2
Anguilla,2014,21.2
Anguilla,2015,21.19
Anguilla,2016,21.19
Anguilla,2017,21.19
Anguilla,2018,21.18
Anguilla,2019,21.18
Anguilla,2020,21.2
Anguilla,2021,21.2
Anguilla,2022,21.2
Anguilla,2023,21.2
Antigua and Barbuda,1980,23.75
Antigua and Barbuda,1981,23.64
Antigua and Barbuda,1982,23.53
Antigua and Barbuda,1983,23.42
Antigua and Barbuda,1984,23.31
Antigua and Barbuda,1985,23.19
Antigua and Barbuda,1986,23.07
Antigua and Barbuda,1987,22.95
Antigua and Barbuda,1988,22.83
Antigua and Barbuda,1989,22.71
Antigua and Barbuda,1990,22.58
Antigua and Barbuda,1991,22.57
Antigua and Barbuda,1992,22.55
Antigua and Barbuda,1993,22.54
Antigua and Barbuda,1994,22.53
Antigua and Barbuda,1995,22.52
Antigua and Barbuda,1996,22.51
Antigua and Barbuda,1997,22.5
Antigua and Barbuda,1998,22.49
Antigua and Barbuda,1999,22.48
Antigua and Barbuda,2000,22.47
Antigua and Barbuda,2001,22.31
Antigua and Barbuda,2002,22.16
Antigua and Barbuda,2003,22.02
Antigua and Barbuda,2004,21.89
Antigua and Barbuda,2005,21.76
Antigua and Barbuda,2006,21.64
Antigua and Barbuda,2007,21.53
Antigua and Barbuda,2008,21.42
Antigua and Barbuda,2009,21.31
Antigua and Barbuda,2010,21.21
Antigua and Barbuda,2011,21.2
Antigua and Barbuda,2012,21.2
Antigua and Barbuda,2013,21.2
Antigua and Barbuda,2014,21.2
Antigua and Barbuda,2015,21.19
Antigua and Barbuda,2016,21.19
Antigua and Barbuda,2017,21.19
Antigua and Barbuda,2018,21.18
Antigua and Barbuda,2019,21.18
Antigua and Barbuda,2020,21.2
Antigua and Barbuda,2021,21.2
Antigua and Barbuda,2022,21.2
Antigua and Barbuda,2023,21.2
Argentina,2001,14.44
Argentina,2002,15.34
Argentina,2003,15.88
Argentina,2004,13.77
Argentina,2005,11.77
Argentina,2006,10.56
Argentina,2007,14.56
Argentina,2008,14.71
Argentina,2009,12
Argentina,2010,12.01
Argentina,2011,11.64
Argentina,2012,8.55
Argentina,2013,9.99
Argentina,2014,10.2
Argentina,2015,12.13
Argentina,2016,14.07
Argentina,2017,11.82
Argentina,2018,12.18
Argentina,2022,12.36
Argentina,2023,12.36
Armenia,1996,19.42
Armenia,1999,17.6
Armenia,2002,15.59
Armenia,2003,16.7
Armenia,2004,18.96
Armenia,2005,18
Armenia,2006,13.16
Armenia,2007,12.69
Armenia,2008,12.97
Armenia,2009,12.53
Armenia,2010,15.01
Armenia,2011,13.26
Armenia,2012,13.38
Armenia,2013,14.67
Armenia,2014,14.3
Armenia,2015,15.15
Armenia,2016,18.06
Armenia,2017,17.12
Armenia,2018,17.5
Armenia,2022,14.62
Armenia,2023,15.81
Aruba,1980,23.75
Aruba,1981,23.64
Aruba,1982,23.53
Aruba,1983,23.42
Aruba,1984,23.31
Aruba,1985,23.19
Aruba,1986,23.07
Aruba,1987,22.95
Aruba,1988,22.83
Aruba,1989,22.71
Aruba,1990,22.58
Aruba,1991,22.57
Aruba,1992,22.55
Aruba,1993,22.54
Aruba,1994,22.53
Aruba,1995,22.52
Aruba,1996,22.51
Aruba,1997,22.5
Aruba,1998,22.49
Aruba,1999,22.48
Aruba,2000,22.47
Aruba,2001,22.31
Aruba,2002,22.16
Aruba,2003,22.02
Aruba,2004,21.89
Aruba,2005,21.76
Aruba,2006,21.64
Aruba,2007,21.53
Aruba,2008,21.42
Aruba,2009,21.31
Aruba,2010,21.21
Aruba,2011,21.2
Aruba,2012,21.2
Aruba,2013,21.2
Aruba,2014,21.2
Aruba,2015,21.19
Aruba,2016,21.19
Aruba,2017,21.19
Aruba,2018,21.18
Aruba,2019,21.18
Aruba,2020,21.2
Aruba,2021,21.2
Aruba,2022,21.2
Aruba,2023,21.2
Asia (WID),1980,24.54
Asia (WID),1981,23.74
Asia (WID),1982,21.2
Asia (WID),1983,21.81
Asia (WID),1984,20.19
Asia (WID),1985,20.92
Asia (WID),1986,20.97
Asia (WID),1987,21.22
Asia (WID),1988,21.88
Asia (WID),1989,21.74
Asia (WID),1990,22.4
Asia (WID),1991,23.17
Asia (WID),1992,22.75
Asia (WID),1993,21.87
Asia (WID),1994,21.95
Asia (WID),1995,22.99
Asia (WID),1996,23.03
Asia (WID),1997,22.76
Asia (WID),1998,22.12
Asia (WID),1999,22.6
Asia (WID),2000,23.4
Asia (WID),2001,23.87
Asia (WID),2002,23.98
Asia (WID),2003,23.34
Asia (WID),2004,23.76
Asia (WID),2005,24.12
Asia (WID),2006,23.7
Asia (WID),2007,23.7
Asia (WID),2008,23.42
Asia (WID),2009,22.37
Asia (WID),2010,22.06
Asia (WID),2011,22.67
Asia (WID),2012,22.01
Asia (WID),2013,21.64
Asia (WID),2014,21.2
Asia (WID),2015,21.14
Asia (WID),2016,20.63
Asia (WID),2017,20.95
Asia (WID),2018,21.68
Asia (WID),2019,20.42
Asia (WID),2020,20.88
Asia (WID),2021,20.49
Asia (WID),2022,21.63
Asia (WID),2023,21.07
Asia (excluding Middle East) (WID),1980,19.84
Asia (excluding Middle East) (WID),1981,19.31
Asia (excluding Middle East) (WID),1982,19.89
Asia (excluding Middle East) (WID),1983,19.55
Asia (excluding Middle East) (WID),1984,19.35
Asia (excluding Middle East) (WID),1985,19.85
Asia (excluding Middle East) (WID),1986,20.87
Asia (excluding Middle East) (WID),1987,21.24
Asia (excluding Middle East) (WID),1988,21.05
Asia (excluding Middle East) (WID),1989,22.43
Asia (excluding Middle East) (WID),1990,22.5
Asia (excluding Middle East) (WID),1991,21.79
Asia (excluding Middle East) (WID),1992,20.46
Asia (excluding Middle East) (WID),1993,20.1
Asia (excluding Middle East) (WID),1994,20.03
Asia (excluding Middle East) (WID),1995,20.8
Asia (excluding Middle East) (WID),1996,20.74
Asia (excluding Middle East) (WID),1997,20.42
Asia (excluding Middle East) (WID),1998,20.01
Asia (excluding Middle East) (WID),1999,20.12
Asia (excluding Middle East) (WID),2000,20.54
Asia (excluding Middle East) (WID),2001,20.93
Asia (excluding Middle East) (WID),2002,21.81
Asia (excluding Middle East) (WID),2003,21.14
Asia (excluding Middle East) (WID),2004,21.34
Asia (excluding Middle East) (WID),2005,21.37
Asia (excluding Middle East) (WID),2006,21.13
Asia (excluding Middle East) (WID),2007,21.64
Asia (excluding Middle East) (WID),2008,21.18
Asia (excluding Middle East) (WID),2009,20.79
Asia (excluding Middle East) (WID),2010,20.96
Asia (excluding Middle East) (WID),2011,20.67
Asia (excluding Middle East) (WID),2012,20.13
Asia (excluding Middle East) (WID),2013,19.48
Asia (excluding Middle East) (WID),2014,19.76
Asia (excluding Middle East) (WID),2015,19.31
Asia (excluding Middle East) (WID),2016,19.69
Asia (excluding Middle East) (WID),2017,20.21
