Country,Year,Palma ratio (before tax) (World Inequality Database)
Afghanistan,2008,3.052906
Afghanistan,2012,2.5358338
Afghanistan,2017,2.853211
Afghanistan,2022,2.8670437
Afghanistan,2023,2.8359156
Africa (WID),1980,13.300459
Africa (WID),1981,12.954751
Africa (WID),1982,13.096109
Africa (WID),1983,13.399538
Africa (WID),1984,13.259259
Africa (WID),1985,13.535378
Africa (WID),1986,12.843891
Africa (WID),1987,12.437086
Africa (WID),1988,12.675675
Africa (WID),1989,12.652467
Africa (WID),1990,12.454545
Africa (WID),1991,12.706278
Africa (WID),1992,12.789116
Africa (WID),1993,12.319384
Africa (WID),1994,12.831819
Africa (WID),1995,12.761905
Africa (WID),1996,12.30719
Africa (WID),1997,12.218884
Africa (WID),1998,11.778468
Africa (WID),1999,11.534274
Africa (WID),2000,11.686992
Africa (WID),2001,11.574596
Africa (WID),2002,11.568548
Africa (WID),2003,11.453094
Africa (WID),2004,11.26378
Africa (WID),2005,11.04845
Africa (WID),2006,11.071428
Africa (WID),2007,10.938931
Africa (WID),2008,10.664151
Africa (WID),2009,10.32282
Africa (WID),2010,10.206642
Africa (WID),2011,9.8918915
Africa (WID),2012,10.125227
Africa (WID),2013,10.119565
Africa (WID),2014,9.814487
Africa (WID),2015,9.791887
Africa (WID),2016,9.777778
Africa (WID),2017,9.565972
Africa (WID),2018,9.451115
Africa (WID),2019,9.310696
Africa (WID),2020,9.237288
Africa (WID),2021,9.4965515
Africa (WID),2022,9.4827585
Africa (WID),2023,9.6160555
Albania,1996,2.5901375
Albania,2002,2.7886248
Albania,2005,2.6532125
Albania,2008,2.5504
Albania,2012,2.612
Albania,2015,3.1423519
Albania,2016,3.098579
Albania,2017,3.1075556
Albania,2018,3.0833333
Albania,2022,2.9973707
Albania,2023,3.0158033
Algeria,1988,3.8572636
Algeria,1989,3.883051
Algeria,1990,3.9266837
Algeria,1991,4.109756
Algeria,1992,3.8904924
Algeria,1993,4.0973067
Algeria,1994,4.8229756
Algeria,1995,4.171779
Algeria,1996,3.8789163
Algeria,1997,4.137871
Algeria,1998,3.92
Algeria,1999,3.8997452
Algeria,2000,4.1885967
Algeria,2001,4.0431404
Algeria,2002,4.140611
Algeria,2003,4.1148825
Algeria,2004,3.8955858
Algeria,2005,3.8789163
Algeria,2006,4.001718
